index,NMF_0,NMF_1,NMF_2,NMF_3,NMF_4,NMF_5,NMF_6,NMF_7,NMF_8,NMF_9,NMF_10,NMF_11,NMF_12
MDS2,0.0,0.0,0.61374295,0.07485996,0.0,0.0,0.0,0.0,0.028420998,0.0,0.0,0.0,0.0
PITHD1,0.103555754,0.14107116,0.35249034,0.10705174,0.1763179,0.34531125,0.07163552,0.19657215,0.25590366,0.06308717,0.0,0.26012942,0.04341354
HMGCL,0.12913118,0.050536327,0.366565,0.11891314,0.026051221,0.118583106,0.24978766,0.191814,0.0,0.0,0.0,0.040715963,0.006824364
TMEM50A,0.045318663,0.10556825,0.26282558,0.12316829,0.028760016,0.21610901,0.17942235,0.49500299,0.44293028,0.46641877,0.21594585,0.0,0.2812255
LDLRAP1,0.0,0.0,0.98823786,0.0,0.0,0.049398627,0.0,0.0,0.37669718,0.0,0.0,0.17568769,0.2060705
RP11-70P17.1,0.0,0.0,0.036974106,0.0,0.0,0.0,0.0,0.0,0.32674843,0.19300418,0.0009710992,0.0,0.0
STMN1,0.0,0.06121664,0.0,0.06514376,0.26754233,0.039741203,0.0,0.32142255,0.0,0.2745221,0.0,0.8678938,0.030104183
PDIK1L,0.0,0.0,0.0,0.15005594,0.0015077643,0.5197247,0.0,0.0,0.087556936,0.0,0.0,0.0,0.0
ZNF593,0.0,0.27451256,0.08466581,0.0,0.22737902,0.011188567,0.36603755,0.10097893,0.14751886,0.07254251,0.19982326,0.096230246,0.010472982
TMEM222,0.13922809,0.0,0.0,0.10153343,0.007913013,0.0,0.0,0.0,0.0,0.21422717,0.0,1.0051733,0.0
PPP1R8,0.0,0.042543717,0.16793406,0.0,0.06822142,0.13132851,0.21541932,0.2784702,0.0,0.0,0.0,0.6177279,0.018123507
PTAFR,0.035181932,0.09409029,0.0,0.0,0.0,0.0,0.19726732,0.0,0.009005731,0.0,0.5821836,0.0,0.09301053
PHACTR4,0.25164092,0.0,0.0,0.055726103,0.06105033,0.4061092,0.0,0.0,0.10355131,0.18037519,0.0417695,0.0,0.09295418
SNHG12,0.12723787,0.0,0.42995322,0.19251354,0.008550783,0.4113277,0.0,0.0,0.02185962,0.0754845,0.0,0.0,0.0
TAF12,0.027106358,0.072007485,0.37602198,0.065011494,0.06834078,0.0,0.19689958,0.30421683,0.30820838,0.3580427,0.17731296,0.0639204,0.06704307
YTHDF2,0.10045018,0.117301166,0.5439472,0.20832378,0.1598643,0.16763131,0.06344716,0.24041368,0.16642532,0.2694329,0.020865973,0.0,0.0010481405
PUM1,0.112983234,0.12097313,0.015675265,0.059949856,0.0,0.15579988,0.25272322,0.0,0.15803176,0.09851568,0.112939075,0.0,0.0
SPOCD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4930931
TMEM234,0.0,0.0,0.03437584,0.0,0.085765526,0.19115826,0.0963811,0.15534614,0.114648625,0.0,0.17992167,0.027381621,0.0
HDAC1,0.17755167,0.0615738,0.22853073,0.17691597,0.016063197,0.087493904,0.0041646357,0.30154985,0.34840623,0.21744464,0.026800694,0.46918,0.0
MARCKSL1,0.040366236,0.13917366,0.13180506,0.46582374,0.002787587,0.0,0.5585084,0.2048418,0.1784053,0.0,0.13436447,0.47453514,0.028459545
SMIM12,0.0,0.16074571,0.073273234,0.030944703,0.052891582,0.0,0.27878028,0.21559319,0.17673865,0.2676139,0.20487379,0.5028397,0.0
AGO4,0.0,0.057971794,0.03665454,0.0,0.020257065,0.09710041,0.0,0.042155482,0.0,0.13150942,0.23021728,0.0,0.004341066
TRAPPC3,0.056793146,0.10970427,0.15494007,0.08470995,0.09871618,0.06947431,0.18102974,0.23774958,0.26949856,0.12073559,0.23357123,0.52769506,0.0057525057
EVA1B,0.0,0.12920676,0.0,0.004014097,0.0,0.09766806,0.0,0.11343275,0.04494312,0.0,0.13728745,0.0,0.0
RRAGC,0.0,0.11668936,0.05125768,0.12018933,0.0,0.17258978,0.22310957,0.053412233,0.20424478,0.20924991,0.050655525,0.2196528,0.011066713
PPIE,0.021067454,0.069569446,0.31417927,0.12694095,0.08609347,0.07776399,0.12046358,0.4209287,0.33514497,0.020473655,0.08876163,0.28473863,0.0079660965
TRIT1,0.0,0.057507437,0.0,0.0,0.0,0.8608291,0.0,0.0027461455,0.0,0.0,0.0,0.0,0.0
PPT1,0.0,0.2544577,0.31014198,0.077070415,0.0,0.13441907,0.36567074,0.018436702,0.33535767,0.050557617,0.44021463,0.1466158,0.029505018
SMAP2,5.9672915e-05,0.086924516,0.22569622,0.3491699,0.23978218,0.20247772,0.35062551,0.050695337,0.21794094,0.16430755,0.3437203,0.0,0.0
ZFP69,0.2923423,0.0,0.11094093,0.0,0.0,0.1829109,0.0,0.05252915,0.0,0.0,0.0,0.0,0.0
CITED4,0.0,0.084659494,0.4763008,0.0,0.0,0.0,0.06806736,0.0,0.10880025,0.0,0.12450197,0.027763577,0.0007941467
C1orf50,0.0,0.14353685,0.0,0.016460525,0.015586619,0.3302431,0.12837669,0.09364804,0.049897205,0.19288932,0.110436246,0.38623637,0.028016273
EBNA1BP2,0.12110118,0.07756674,0.0,0.16893099,0.0,0.08980922,0.056271065,0.058117937,0.368192,0.20766369,0.07533997,0.38054007,0.025287697
ST3GAL3,0.004499382,0.0,0.18791573,0.08103072,0.0,0.0,0.0,0.0,0.05632439,0.0674454,0.0,0.0,0.40869293
DMAP1,0.17926744,0.127983,0.03797701,0.1353721,0.097229466,0.0,0.0,0.21199453,0.33019817,0.11883199,0.16929637,0.08896276,0.0043597883
ERI3,0.0,0.04333935,0.24663757,0.06451625,0.0,0.0,0.30303672,0.11811138,0.34647974,0.18359241,0.0886392,0.0,0.0026427333
PRDX1,0.12573639,0.008484264,0.16822816,0.22988553,0.13963908,0.067335665,0.38728622,0.05844364,0.53394085,0.36978242,0.3170415,0.13002786,0.027654331
FAAH,0.19941519,0.0,0.0,0.0,0.0,0.0,0.02791814,0.023372175,0.0,0.0,0.0923541,0.6169289,0.0
ATPAF1,0.0,0.1211159,0.04887509,0.024454173,0.4896831,0.42302683,0.028510863,0.07192,0.20006447,0.103510365,0.0,0.21082008,0.008215058
EFCAB14,0.11448107,0.044518754,0.29225284,0.02290215,0.07273961,0.0021376603,0.2474583,0.0,0.15159169,0.33747113,0.0,0.024748817,0.0
PDZK1IP1,0.0,0.03359747,0.0,0.0,0.0,0.0,0.04022983,0.0,0.0,0.0,0.0,0.0017064404,0.61067504
TAL1,0.0,0.008941539,0.0,0.0,0.009257481,0.0,0.0,0.0,0.0,0.0,0.0,0.0622784,0.1471995
SPATA6,0.0,0.0,0.0,0.06941142,0.0,0.25834185,0.12132847,0.0,0.0,0.0056748544,0.03923642,0.0,0.0017096804
ZCCHC11,0.0,0.0,0.32363164,0.10313906,0.48636127,0.0,0.042234767,0.11253812,0.28955346,0.0,0.019642908,0.16823171,0.0
SCP2,0.090575844,0.10360364,0.17798038,0.24929158,0.08046367,0.13876103,0.15840986,0.49587488,0.36188832,0.37188154,0.218399,0.2557656,0.1043684
HSPB11,0.20306467,0.038493868,0.0,0.06918027,0.37878543,0.0,0.08776391,0.0,0.06461898,0.43278635,0.039201934,0.3599315,0.017563656
SSBP3,0.035842504,0.04243015,0.0,0.0,0.0,0.0,0.0,0.32054967,0.14747816,0.0,0.12512872,0.44452858,0.0
ACOT11,0.0,0.10941781,0.0,0.010120688,0.045901123,0.030013802,0.07189995,0.004460968,0.009453771,0.0,0.0,0.0032008397,0.035891924
PARS2,0.024320848,0.0,0.001989913,0.0,0.0,0.078357376,0.0155271245,0.086130165,0.0,0.0,0.008312702,0.021263793,0.0
ATG4C,0.0,0.09154396,0.13125825,0.24604277,0.014982115,0.098634504,0.0,0.0,0.0,0.0,0.009900695,0.5257711,0.0
PGM1,0.07022826,0.07737195,0.12702951,0.0,0.059007715,0.06888802,0.03310622,0.16533126,0.15609863,0.2613356,0.09639572,0.0,0.0
LRRIQ3,0.007217568,0.018821735,0.0053239367,0.033782404,0.0,0.0,0.025334632,0.0,0.056177195,0.0,0.0,0.058478355,0.0
ACADM,0.04879432,0.13777718,0.0,0.38603264,0.1546312,0.71965843,0.0,0.18735076,0.2550663,0.021257054,0.0,0.04317772,0.005105189
USP33,0.49169916,0.19759876,0.0,0.04493889,0.031283766,0.28708068,0.0,0.049488164,0.08051778,0.034590665,0.0,0.06853843,0.0
IFI44,0.60419136,0.098384485,0.0,0.0,0.0,0.20518835,0.03349202,0.115419336,0.21493766,0.0,0.2482204,0.17558286,0.0
RP5-887A10.1,0.0,0.0,0.0,0.0,2.158077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRKACB,0.011250944,0.0,0.033075493,0.0014053942,0.22030248,0.34587017,0.032639954,0.26911342,0.30866474,0.0,0.047498573,0.17982307,0.0
SH3GLB1,0.25635764,0.010493355,0.0,0.060998168,0.10756073,0.3729938,0.393188,0.3509223,0.2475624,0.12342127,0.19940245,0.0683514,0.02524196
PKN2,0.0,0.029168308,0.0,0.05478581,0.01641029,0.0,0.26857838,0.22242418,0.0,0.07617899,0.0816416,0.41727984,0.0
GTF2B,0.021421755,0.10540002,0.49725476,0.21803038,0.014893564,0.14289778,0.14366648,0.19622459,0.11239471,0.06785108,0.06252437,0.17338799,0.0
GBP1,0.8989666,0.0,0.084382616,0.0,0.0,0.12041226,0.05052666,0.006442261,0.0,0.10129718,0.0,0.40308553,0.0
GBP4,0.5177911,0.0,0.055361684,0.0,0.0,0.21402262,0.17600872,0.1643405,0.0,0.0,0.0,0.25252685,0.0
LRRC8C,0.0,0.14986512,0.431955,0.0,0.0,0.0,0.0,0.0,0.056132354,0.12248135,0.06206748,0.07836033,0.0
TMED5,0.14046791,0.10869411,0.14879675,0.086140536,0.021446638,0.0,0.28995875,0.23818605,0.30781877,0.33947903,0.06637537,0.0,0.0
RP11-421L21.3,0.09279401,0.0,0.04744439,0.19851018,0.0,0.27546635,0.0,0.0,0.0,0.0,0.0,0.31827855,0.0
HENMT1,0.0,0.058836572,0.18942781,0.0,0.0,0.47895947,0.015728619,0.43854302,0.0,0.3542955,0.0,0.0,0.0
TMEM167B,0.323443,0.0,0.0,0.12030483,0.12232096,0.0,0.11967473,0.12268423,0.0076071434,0.0,0.13197425,0.511118,0.026038717
SARS,0.09819686,0.09711696,0.26690578,0.14524722,0.024860507,0.033466615,0.21345869,0.2747025,0.33502233,0.20376314,0.07094164,0.27504802,0.0
LAMTOR5,0.06661271,0.08881574,0.0584429,0.30131248,0.20599727,0.21173112,0.36378765,0.20573728,0.3982651,0.2730136,0.33145052,0.23314136,0.0033690513
DRAM2,0.0,0.118932925,0.22407746,0.44162044,0.36699054,0.09376702,0.2461381,0.02396754,0.01502484,0.022733083,0.27071914,0.5276541,0.0
CEPT1,0.07080297,0.081783846,0.24370131,0.37312013,0.42871135,0.0,0.10799535,0.042271998,0.115397096,0.14494003,0.021300906,0.0,0.0
DENND2D,0.13589044,0.0071377773,0.4760516,0.042714015,0.05284097,0.25724953,0.0,0.42233586,0.52732897,0.2334438,0.0,0.0,0.0
CHI3L2,0.1686065,0.0,0.09979782,0.35489628,0.4955192,0.0,0.0,0.2022083,0.10254688,0.15341704,0.0,0.0,0.0
C1orf162,0.07733325,0.1290649,0.21786621,0.21965382,0.030402323,0.21655333,0.42626908,0.36630943,0.20933641,0.0,0.8039411,0.0,0.0
ST7L,0.0,0.042500295,0.0,0.046397097,0.002724793,0.0,0.13452467,0.0,0.45892823,0.07394178,0.0900014,0.05564798,0.09838586
LRIG2,0.099588774,0.0,0.04750269,0.0,0.0,0.0,0.03703281,0.0815741,0.12725975,0.0,0.026637271,0.123524986,0.0
AP4B1-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10691008,0.0922857,0.0,0.022059595,0.0,0.0
RP5-1073O3.7,0.071501,0.0,0.43195653,0.0,0.0,0.35320836,0.0,0.0,0.017265147,0.0,0.0,0.0,0.0
CD2,0.023413185,0.0,0.46620986,0.0,0.0,0.49223313,0.0,0.0,0.81653905,0.7170652,0.0,0.14499508,0.0
WARS2,0.019759461,0.061190218,0.15158573,0.0,0.22579178,0.014441535,0.01690633,0.108021945,0.0,0.10850505,0.06403388,0.0,0.0
FCGR1B,0.0,0.008425966,0.0,0.0,0.0,0.0,0.111210026,0.0,0.0,0.0,0.6940073,0.0,0.028332172
LIX1L,0.0,0.010037413,0.2002961,0.08675054,0.23553787,0.505602,0.11654884,0.04742539,0.0,0.13022402,0.10060631,0.03507206,0.0
CD160,0.0,0.0,0.0,0.0025528665,0.0,0.0,0.0,1.1262976,0.0,0.52877504,0.0,0.0,0.0
FCGR1A,0.0,0.023168096,0.0,0.0,0.013908193,0.0,0.0,0.0,0.0,0.0,1.0758501,0.0,0.0
BOLA1,0.0,0.0,0.32223326,0.0,0.25579268,0.21116477,0.024255477,0.023687826,0.04102721,0.17464702,0.044480976,0.063084714,0.0
CTSS,0.048486143,0.0,0.069062896,0.3120847,0.09958446,0.0111214705,0.68840766,0.11398543,0.059873547,0.018504713,1.1224678,0.047310255,0.0003075021
FAM63A,0.0,0.02133667,0.0,0.0,0.0,0.0,0.0,0.0,0.2654472,0.0,0.018606318,0.15096368,0.5199691
PRUNE,0.0,0.0,0.0,0.03148136,0.009518391,0.0,0.031158024,0.011916784,0.23285101,0.13325343,0.07008651,0.0,0.299238
MLLT11,0.0,0.0,0.00024450323,0.0,0.0,0.2862523,0.10661726,0.1730061,0.24309309,0.024136256,0.0061798757,0.22041452,0.0
PI4KB,0.19772388,0.19385007,0.08933129,0.085149124,0.05159123,0.25335202,0.11564694,0.16367552,0.14981118,0.06692649,0.018987542,0.0,0.021536725
C2CD4D,0.0,0.0,0.056456048,0.0,0.0,0.0,0.0,0.0,0.04741984,0.0,0.0,0.0,0.00023993815
THEM4,0.0153981345,0.037472997,0.20641445,0.0,0.0342874,0.13192007,0.07859071,0.0,0.4896574,0.23344553,0.0,0.09111382,0.0
S100A11,0.048542608,0.0,0.06509411,0.0,0.0,0.0,0.6680025,0.24425101,0.30179805,0.17696564,1.0335906,0.0,0.0
S100A12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008822028,0.0,0.0,1.1760675,0.0,0.0
S100A8,0.0,0.0,0.009272818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.925997,0.0,0.0117373755
S100A6,0.0,0.0,0.07180924,0.0,0.0,0.0,0.3754302,0.14926508,0.17330308,0.33166668,1.1045202,0.0,0.009557281
SNAPIN,0.053463276,0.11805752,0.056394953,0.09175791,0.20195933,0.084780544,0.17050496,0.45244625,0.22099176,0.2510637,0.24185254,0.20051605,0.048369676
CRTC2,0.0,0.022520581,0.03591043,0.0,0.20128663,0.32548353,0.14865203,0.0,0.18871059,0.0,0.06569556,0.17155778,0.0
SLC39A1,0.0,0.22211654,0.0,0.043791506,0.0837284,0.0,0.39816782,0.13594547,0.30407658,0.044133984,0.09873416,0.25191745,0.02095982
UBE2Q1,0.0071680993,0.2900969,0.04366014,0.0,0.001294672,0.0,0.23633756,0.0,0.17925242,0.06262416,0.025430607,0.0,0.017963532
CKS1B,0.0,0.0,0.0869902,0.25333342,0.1478471,0.18591726,0.46259177,0.050627008,0.0,0.12878422,0.0,0.36455664,0.027611697
SLC50A1,0.15818521,0.08126254,0.027361723,0.4690639,0.0,0.12269364,0.16040319,0.238701,0.18837841,0.0012219758,0.027806537,0.076275215,0.07336788
RIT1,0.08470467,0.0,0.0,0.047723606,0.012237292,0.29703173,0.22938548,0.0923186,0.008331107,0.17874722,0.1492505,0.0,0.08518122
PMF1,0.22819804,0.11334938,0.0,0.1617806,0.012522199,0.12698099,0.1392333,0.12402986,0.41367513,0.07943675,0.19917409,0.39148253,0.0
BGLAP,0.0,0.006367964,0.02134563,0.033422276,0.0,0.0,0.0053957063,0.050570894,0.0,0.0,0.012437784,0.055793453,0.0018346809
GPATCH4,0.0,0.0,0.15112291,0.0,0.42978635,0.37485215,0.037259124,0.10939037,0.04885353,0.12621045,0.0,0.15414925,0.0
ISG20L2,0.091886185,0.13171495,0.25889716,0.08776047,0.1846234,0.13238539,0.09597809,0.06504762,0.09321195,0.06387893,0.07263456,0.10939705,0.043397218
HDGF,0.0,0.05093245,0.044237047,0.050452363,0.11994806,0.09036029,0.32102242,0.068887584,0.112014264,0.15406497,0.21327436,0.15617944,0.13001354
FCRL2,0.0,0.0,0.0,0.17894153,1.7828525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD1C,0.0,1.1870397,0.0,0.105334446,0.9106836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AIM2,0.2438721,0.0,0.0,0.0,1.1569933,0.0,0.18753815,0.0,0.0,0.0,0.008152686,0.0,0.0
FCER1A,0.0,2.1067345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FCRL6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2864162,0.0,0.5708475,0.0,0.0,0.0
DCAF8,0.38123053,0.0063001905,0.033444956,0.044579078,0.18147051,0.0,0.0,0.15092751,0.12812859,0.056770038,0.028733868,0.29778016,0.09936797
PEX19,0.2431928,0.00090168166,0.045134235,0.0065481374,0.06990279,0.0,0.08219283,0.09318626,0.05993442,0.28944296,0.0,0.3429484,0.0
CD48,0.019372422,0.0,0.49329227,0.28552532,0.12114785,0.15984479,0.19842808,0.1553443,0.3619741,0.34253493,0.3369195,0.0,0.0
F11R,0.0,0.117893875,0.090861894,0.018983295,0.0,0.0,0.0,0.08741064,0.0,0.07242307,0.03692271,0.0,0.2634119
PFDN2,0.09274609,0.17326476,0.23159069,0.26868716,0.0,0.1124136,0.2733031,0.073520534,0.24257389,0.20929947,0.28983423,0.2866404,0.0175563
NIT1,0.32172385,0.06472951,0.2186674,0.0,0.035928134,0.0,0.06458112,0.0,0.0324547,0.10823187,0.14770672,0.08202163,0.0
DEDD,0.07204695,0.102880366,0.19219372,0.01184449,0.0,0.0,0.19550368,0.034484837,0.15188885,0.06310195,0.069463335,0.083069235,0.0
FCER1G,0.0,0.027022658,0.0,0.0,0.0,0.0,1.0135913,0.87349313,0.0,0.0,1.0621923,0.0,0.03669182
FCGR2A,0.0,0.096973225,0.0,0.0,0.0,0.0,0.9072561,0.0,0.0,0.0,0.6738853,0.0,0.06888277
FCGR3A,0.022683328,0.0,0.0,0.0,0.0,0.0,1.5652394,1.733654,0.0,0.0051182606,0.0,0.0,0.0
FCGR2B,0.0,0.22408088,0.0,0.9445278,0.38341442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FCGR3B,0.17966256,0.0,0.0,0.0,0.0,0.0,0.3541428,0.0,0.0,0.0,0.0,0.0,0.0
FCRLA,0.0,0.0,0.0,1.1463451,1.2086568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMCO1,0.1355292,0.053187788,0.20396693,0.11164658,0.296408,0.0483481,0.24415164,0.28458592,0.21282774,0.42054728,0.08061919,0.31835747,0.015030787
CD247,0.080140434,0.0,0.42247972,0.0,0.0,0.16466221,0.0,1.5004336,0.39674821,0.33306286,0.0,0.19416481,0.0
MPC2,0.0,0.13939124,0.14675297,0.058144033,0.18149497,0.29496354,0.1683534,0.11942831,0.43523368,0.27842516,0.14267647,0.23125985,0.08140304
XCL2,0.0,0.0,0.0,0.0,0.0,0.78615344,0.0,1.8818897,0.0,0.0,0.0,0.0,0.0
XCL1,0.0,0.0,0.0,0.0,0.0,1.0189046,0.0,1.3874124,0.0,0.0,0.0,0.0,0.0
BLZF1,0.0,0.034593057,0.043468807,0.16266033,0.0,0.20113595,0.019535577,0.016604943,0.07843506,0.22960415,0.02141641,0.04075335,0.040762436
F5,0.0,0.0,0.0,0.0,0.0,0.0,0.0012567987,0.013943167,0.29702154,0.0,0.11808696,0.0,0.0028360558
SELL,0.060851768,0.027186424,0.62884706,0.50525624,0.25127414,0.5384499,0.0,0.2585665,0.36737785,0.0,0.11183599,0.15254828,0.00220082
FMO4,0.0,0.011641177,0.0046795127,0.047173735,0.007503973,0.069933124,0.010984358,0.006826372,0.07476645,0.026810978,0.0,0.018399624,0.0
KIAA0040,0.13776284,0.0,0.09221545,0.36372453,0.6890239,0.37070665,0.0,0.0,0.06469041,0.0,0.12015499,0.0,0.0
QSOX1,0.103844024,0.12246867,0.029348541,0.031555496,0.0,0.0,0.0,0.036222063,0.026581287,0.24187759,0.4284651,0.0,0.0
DHX9,0.0,0.064851336,0.21054238,0.03448702,0.0,0.23765244,0.0,0.03642448,0.0,0.0,0.050125357,0.7839669,0.0
NCF2,0.07897595,0.08483548,0.0,0.0080210185,0.07799848,0.03137995,0.47488222,0.0,0.0,0.0,1.2260092,0.0,0.0
COLGALT2,0.006686674,0.0,0.0,0.0,0.0,0.0,0.0,0.17561409,0.0,0.11959854,0.0,0.0,0.0
RGS18,0.004788889,0.04738809,0.0,0.0,0.0,0.07331925,0.077066384,0.0,0.0,0.035127204,0.28051516,0.0,1.5742538
ZBTB41,0.0070471647,0.026725873,0.0,0.0,0.023136701,0.0,0.0,0.013057008,0.01451986,0.049376637,0.0,0.18851161,0.0
CSRP1,0.0,0.13525571,0.24136393,0.064959094,0.0037462541,0.0,0.34533283,0.10842405,0.053583506,0.12211098,0.027881559,0.40363547,0.004148054
IPO9-AS1,0.0,0.0,0.0,0.0,0.015419443,0.003421713,0.013267408,0.0,0.02911206,0.038181514,0.038578507,0.001902188,0.0043074726
PTPN7,0.0052596224,0.01246802,0.22199939,0.1343028,0.07142337,0.55927736,0.0,0.58344007,0.16039026,0.09802716,0.0,0.14999817,0.0
RABIF,0.16039668,0.10466435,0.18521589,0.0,0.061147306,0.10276629,0.17999162,0.031504318,0.054676045,0.35760236,0.13619862,0.0,0.18063667
SOX13,0.0019239383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04081124,0.046292875,0.0,0.0,0.0
IL24,0.0,0.0,0.019932877,0.0,0.0,0.0,0.03559618,0.032392833,0.14344119,0.0,0.0,0.07183908,0.0
CR1,0.0,0.0,0.18562433,0.15344629,0.0,0.0,0.05238936,0.0,0.058087986,0.0,0.21702233,0.0,0.0
RP1-28O10.1,0.10318908,0.0,0.07080399,0.0,0.0658652,0.0,0.0,0.007026663,0.0,0.0,0.0,0.0,0.0
G0S2,0.0,0.0,0.0037817843,0.0,0.0,0.0031268066,0.4909145,0.0,0.01676364,0.0,0.7189876,0.089163266,0.0
TRAF3IP3,0.06050633,0.008778427,0.61979073,0.18307419,0.109486945,0.36868337,0.02663993,0.1571488,0.5060245,0.31670725,0.05515537,0.26608923,0.0
LPGAT1,0.085301876,0.0009553785,0.0,0.09273335,0.08470185,0.4540446,0.04043964,0.27099687,0.0,0.0,0.18167475,0.0,0.0
DUSP10,0.0,0.0892817,0.007984165,0.0,0.0,0.007427267,0.1127102,0.12350608,0.34501272,0.17367773,0.04637587,0.0,0.037285406
RP11-378J18.3,0.0,0.0,0.06587152,0.0,0.042032436,0.013552729,0.0,0.0,0.010033686,0.0,0.0,0.008493935,0.0
DISP1,0.0,0.07449917,0.0,0.07569693,0.0,0.0,0.07044026,0.029106699,0.0,0.0,0.0,0.10705907,0.0
TP53BP2,0.0,0.0,0.0,0.0,0.26253366,0.0,0.0,0.13128732,0.2630388,0.0042375224,0.10073247,0.11700699,0.0
CNIH4,0.0,0.026940268,0.10060821,0.07077418,0.012546598,0.0,0.73109025,0.12706916,0.37467086,0.14809318,0.047239654,0.0,0.030022556
LBR,0.0,0.043791316,0.060967296,0.12849967,0.12180633,0.4509136,0.09697217,0.22195035,0.2783833,0.10568428,0.0076873787,0.41893375,0.0
SRP9,0.11522179,0.0,0.42934006,0.15773955,0.15895852,0.15732872,0.1483986,0.3308502,0.5776742,0.30510145,0.06614077,0.23477809,0.0
ACBD3,0.0,0.0021037036,0.0,0.12212476,0.43727586,0.0,0.14666647,0.0,0.0,0.020553023,0.0,0.36879334,0.0
PARP1,0.14109682,0.10944762,0.012806819,0.6131139,0.12694359,0.11109517,0.037657224,0.1547039,0.36745277,0.17349432,0.0,0.24917878,0.0051131453
